,input,answer
0,The last time anyone was on the moon was in 1972. It is estimated that it will take another 50 years before humans return to the moon.,"['14 December 1972 UTC', 'December 1972']"
1,"The song was written by Pete Townshend of the Who. It is a tribute to his brother, Paul, who died in 1979 at age 27 from an accidental overdose of heroin and alcohol.","['Bobby Scott', 'Bob Russell']"
2,"The Bastard Executioner is a historical drama television series that premiered on FX on September 15, 2015. It was created by Kurt Sutter and stars Lee Jones as Wilkin Brattle, Katey Sagal as Lady Love Brewster and Stephen Moyer as Sir Bertrand de Lyons.","['one', 'one season']"
3,The Eagles won their first Super Bowl in 1980. They defeated the Oakland Raiders by a score of 27-10.,['2017']
4,"The University of Connecticut Huskies won the 2017 NCAA Women's Basketball Championship. They defeated Mississippi State in a close game, with a final score of 64-63.",['South Carolina']
5,"The Isle of Wight became an island in 1834 when the Solent was dredged to create a channel between the mainland and the island. This allowed ships to pass through without having to wait for low tide, which had previously been necessary.",['During the last Ice Age']
6,love yourself by justin bieber is about who?,['Rihanna']
7,"James I was the ruler of England, Ireland and Scotland in 1616. He was born on June 24, 1590 and died on March 27, 1638. His father's name is Henry Stuart and his mother's name is Mary Queen of Scots.",['James I']
8,"The hot coffee mod in san andreas is a modification that allows players to have sex with other characters. It was created by the developer Rockstar Games, and it has been downloaded over 10 million times.",['a normally inaccessible mini-game']
9,The maximum data rate for the IEEE standard is a maximum of about one gigabit per second. This means that it can transfer up to one billion bits in a single second.,['54\xa0Mbit/s']
10,"The state of Madhya Pradesh is located in the centre of India. It is bordered by Rajasthan to the northwest, Uttar Pradesh and Chhattisgarh to the northeast, Maharashtra and Gujarat to the southwest, and Andaman Sea on its east coast.","['Chhattisgarh', 'Madhya Pradesh']"
11,"I ran all the way home, and I was so happy. It was a beautiful day, and the sun was shining brightly. The birds were singing in their trees, and everything seemed to be perfect. But then something happened that changed my life forever...",['The Impalas']
12,"The surname Wallace is derived from the Old English word ""walh"", which means ""foreigner"". It was originally used to describe people who came from Wales or Scotland. In medieval times, it became associated with William Wallace, a Scottish hero who fought against the English in 1297.",['a Scottish surname']
13,"The actor that played Ben Stone on Law and Order was Michael Moriarty. He is best known for his role as the lawyer, Ben Stone, in the television series ""Law & Order"".",['Michael Moriarty']
14,"The voice of Nala in the Lion King is provided by Moira Kelly. She has also voiced characters in other Disney films such as Beauty and the Beast, Aladdin, and Pocahontas.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
15,"The Young and the Restless is a soap opera that has been on air since 1973. It was created by William J. Bell and Lee Phillip Bell, who are also known for creating other soaps such as ""The Bold and the Beautiful"" (B&B) in 1987, which is still running today with over 20 million viewers per week!",['Max Shippee']
16,"I pledge allegiance to the flag of the United States of America, and to the republic for which it stands, one nation under God, indivisible with liberty and justice for all.",['United States Oath of Allegiance']
17,"Darth Vader is a fictional character in the Star Wars universe. He was created by George Lucas and first appeared in the 1977 film Star Wars Episode IV: A New Hope. The character has been portrayed by several actors, including David Prowse and James Earl Jones, who provided his voice for all six films of the original trilogy (Episodes I-VI). In addition to being one of cinema's most iconic villains, he also serves as an antagonist throughout much of Episodes VII–IX (The Force Awakens through Return Of The Jedi).",['Anakin Skywalker']
18,"The Bible does not mention any woman who had a baby at 100 years old. However, there are several women in the Bible who were very old when they gave birth to children. For example, Sarah was 90 years old when she gave birth to Isaac (Genesis 21:5). Rebekah was also quite elderly when she bore twin sons Jacob and Esau (Genesis 25:26). Rachel conceived her second son Joseph while still married to Jacob but died before giving birth (Genesis chapter twenty-nine).","['Sarah', 'Abraham']"
19,You must be at least 18 years old to buy a BB gun.,['18']
20,"Ethiopian Airlines Flight 961 was a scheduled international passenger flight from Addis Ababa, Ethiopia to Nairobi, Kenya. On November 23rd of the year 1985 it crashed into the Indian Ocean off Comoros Islands after running out of fuel. The plane had been hijacked by three men who were members of an armed group called Eritrean People's Liberation Front (EPLF). They demanded that their leader be released from prison in Sudan and flown back home with them on this flight; however when they realized there wasn't enough fuel left for all passengers plus crew members they decided instead just take over control themselves so everyone could get away safely before landing at Mogadishu International Airport where Somali government officials would meet them upon arrival!",['23 November 1996']
21,"The filming of Percy Jackson and the Olympians took place in Vancouver, British Columbia. It was filmed at a studio called Bridge Studios.","['Vancouver', 'Mission, British Columbia']"
22,"The Vampire Diaries is an American supernatural drama television series developed by Kevin Williamson and Julie Plec, based on the book series of the same name written by L. J. Smith. It was officially picked up for a full season order of 22 episodes on May 19, 2009; it premiered September 10, and concluded March 18, with its first season finale being watched live by over three million viewers in total audience (including DVR playback).","['eight', '8']"
23,"Dragon Ball Z is a Japanese anime television series produced by Toei Animation. It was created by Akira Toriyama and first broadcast in Japan on Fuji TV from April 26, 1989 to January 31, 1996. The final episode of the original run aired on March 25, with the English dub airing in North America beginning May that year.","['291 episodes', '291']"
24,"The Wonder Years is a 1988 American coming-of-age comedy film directed by Peter Bogdanovich and written by Steve Tesich. It stars Fred Savage, Dan Lauria, Alley Mills, Jason Hervey and Olivia d'Abo.",['Jacob Tremblay']
25,"The first Australian Prime Minister was elected in 1901. He was Sir Edmund Barton, who served as the leader of the Liberal Party and became Australia's first prime minister on January 26th, 1903.","['Sir Edmund Barton', '1901']"
26,"The character of Matthew is played by Aymeric Jett Montaz. He was born in France and has been acting since he was 10 years old. His first role came when he starred as a young boy named ""Matthew"" in the film, ""The Boy Who Cried Wolf"".",['R. H. Thomson']
27,"The girl in the video is a young woman named Katie. She was born on October 10, 1987 and has been married to her husband since May of this year. Her parents are both doctors and she has two sisters who also work as nurses at their hospital where they live together with their family members including grandparents who have passed away recently due to old age related illnesses such as cancer or heart disease etc...",['Lisa Stelly']
28,Heath Ledger plays the Joker in Batman The Dark Knight.,['Ledger']
29,The South Asian Association for Regional Co-operation (SAARC) was formed in 1985. It is an intergovernmental organization and the regional co-operation forum of eight countries in South Asia.,"['December 1985', '8 December 1985']"
30,"The first Hunger Games book was published in 2013. It is a dystopian novel that follows the story of Katniss Everdeen, who lives in a post-apocalyptic world where children are forced to fight each other for survival.","['September 14, 2008', '2008']"
31,Bette Midler portrayed the role of Rose in The Rose. She was nominated for an Academy Award for Best Actress and won a Golden Globe Award for Best Actress - Motion Picture Drama.,['Mary Rose Foster']
32,"The lead singer of Depeche Mode is Dave Gahan. He was born in 1960 and has been the lead singer since 1982. His voice is often described as ""deep"" or ""raspy"".",['David Gahan']
33,"The butchers in the slaughterhouse cases lived in a small, one-story house that was located on the property. They were not allowed to leave their homes during working hours and had to be back at work by 6 am each morning.",['New Orleans']
34,"The concept of total quality management was developed by W. Edwards Deming, who is considered the father of modern quality control. He believed that all employees should be involved in improving the company's products and services, not just managers or engineers.",['W. Edwards Deming']
35,"The song was written by Kylie Minogue and Cathy Dennis. It is the first single from her album Light Years, which was released in 2001.","['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
