,input,label
8163,"Love in Paris (released as Another 9½ Weeks in the United States) is a romance/drama film released in 1997, a sequel to 1986's ""9½ Weeks"".9½ Weeks (originally titled Nine ½ Weeks) is a 1986 American erotic romantic drama film directed by Adrian Lyne with a screenplay by Sarah Kernochan, Zalman King, and Patricia Louisanna Knop.",supported
8536," Bruce Darnell and Natalie Horler both left after the completion of season 9.Bruce Darnell (born July 19, 1957) is an American model and choreographer based in Germany.",supported
1595," The team, managed by Paul Ellering, is composed of Akam and Rezar.Paul Ellering (born August 22, 1953) is an American professional wrestling manager currently signed with WWE on the NXT brand and formerly a weightlifter, professional wrestler and dog musher.",hallucination
3333," Murtosa has a long friendship with FIFA World Cup winning manager Luiz Felipe Scolari and works mostly as his assistant coach.Luiz Felipe Scolari, (] , ] ; born 9 November 1948), also known as Felipão in Brazil and as Phil Scolari or Big Phil in the English-speaking world, is a FIFA World Cup winner Brazilian football manager and former professional footballer, who is the current manager of Chinese club Guangzhou Evergrande in the Chinese Super League.",hallucination
3852, Both Ibn Taymiyyah and Ibn Yunus were members of Hanbali school.,hallucination
4891, Lynn is the 9th largest municipality in Massachusetts and the largest city in Middlesex County.,hallucination
2554," The text was written by Rachel Wagstaff and the premiere production directed by Trevor Nunn. He has directed dramas for the stage, like ""Macbeth"", as well as opera and musicals, such as ""Cats"" (1981) and ""Les Misérables"" (1985).",hallucination
3519," Gathering Blue is a young adult-social science novel, written by Lois Lowry and released in the year 2001.Lois Lowry (born Lois Ann Hammersberg; March 20, 1937) is an American writer credited with more than thirty children's books.",hallucination
311," Women's Running, formerly ""Her Sports + Fitness"" is a magazine geared towards female running enthusiasts. Playgirl is an American magazine that features general interest articles, lifestyle and celebrity news, in addition to semi-nude or fully nude men. In the 1970s and 1980s the magazine printed monthly and was marketed mainly to women, although it had a significant gay male readership in a period in which gay male erotic magazines were few.",hallucination
7359," It was founded in 1996 by Nobel laureate Milton Friedman and his wife, economist Rose Director Friedman.Milton Friedman ( ; July 31, 1912 – November 16, 2006) was an American economist who received the 1976 Nobel Memorial Prize in Economic Sciences for his research on consumption analysis, monetary history and theory, and the complexity of stabilization policy.",supported
1261," René Clair (11 November 1898 – 26 March 1904), born Emilio Fernández Romo, was a French filmmaker and writer.Emilio ""El Indio"" Fernández (born Emilio Fernández Romo, ] ; March 26, 1904 – August 6,",hallucination
795," With their Week 15 win over the New York Jets, the Dolphins clinched a winning record for the first time since 2008, and clinched a playoff berth after Kansas City Chiefs defeated Denver Broncos.",hallucination
3305," The Presbytère is an architecturally important building in the French Quarter of New Orleans, Louisiana. It stands facing the Mississippi River, adjacent to the St. Louis Cathedral. It was declared a National Historic Landmark in 1960, for its central role in the city's history, and as the site where in 1803 Louisiana was made United States territory pursuant to",hallucination
6125,"Something to Hide (in the U.S. also reissued as ""Shattered""), is a 1972 British thriller film, written and directed by Alastair Reid, based on a 1963 novel by Nicholas Monsarrat. The film stars Peter Finch, Shelley Winters, Colin Blakely, Linda Hayden and Graham Crowden.Colin George Blakely (23 September 1930 – 7 May 1987) was a Northern Irish character actor.",supported
2684," Parliamentary elections were held in the Federated States of Micronesia on 4 March 1985.The Federated States of Micronesia ( ; abbreviated FSM and also known simply as Micronesia) is an independent sovereign island nation and a United States associated state consisting of four states from west to east, Yap, Chuuk, Pohnpei and Kosraethat are spread across the Western Pacific Ocean.",hallucination
106," Professor Matthew Bailes is an astrophysicist at the Centre for Astrophysics and Supercomputing, Swinburne University of Technology and the Director of OzGrav, the ARC Centre of Excellence for Gravitational Wave Discovery.Swinburne University of Technology (often simply called Swinburne) is an Australian public university based in Sydney which is located 7.5 km from Melbourne central business district.",hallucination
7333,"Edith Walks is a 2017 documentary film directed by Andrew Kötting which imagines a journey by Edith the Fair, wife of English king Harold Godwinson, from Waltham Abbey where he is buried to near the site of the Battle of Hastings and the invasion of England by William the Conqueror in 1066.Edith the Fair (Old English: ""Ealdgȳð Swann hnesce"" , ""Edyth the Gentle Swan""; c. 1025 – c. 1086), also known as Edith Swanneck, was the first wife of King Harold Godwinson.",supported
1851," Peter Michael Nevill (born 13 October 1985) is an Australian cricketer currently contracted domestically to New South Wales and the Melbourne Renegades, having previously also played for the Sydney Sixers.The 2015 Ashes was a series of Test cricket matches played between England and Australia for The Ashes.",hallucination
8283,"Cordy Tindell Vivian, usually known as C. T. Vivian (born July 30, 1924), is a minister, author, and was a close friend and lieutenant of Martin Luther King Jr. during the Civil Rights Movement. He is best known for his role in the advancement of civil rights using the tactics of nonviolence and civil disobedience based on his Christian beliefs and inspired by the nonviolent activism of Mahatma Gandhi.",supported
4035," The Bargee is a 1964 British comedy film directed by Duncan Wood, and starring Harry H. Corbett, Hugh Griffith, Eric Sykes and Ronnie Barker.Eric Sykes was the director/actor in a British comedy film directed by Duncan Wood.",hallucination
