,input,answer
0,The last time anyone was on the moon was in 1972. It is estimated that it will take another 50 years before humans return to the moon.,"['14 December 1972 UTC', 'December 1972']"
1,"The song was written by Pete Townshend of the Who. It is a tribute to his brother, Paul, who died in 1979 at age 27 from an accidental overdose of heroin and alcohol.","['Bobby Scott', 'Bob Russell']"
2,"The Bastard Executioner is a historical drama television series that premiered on FX on September 15, 2015. It was created by Kurt Sutter and stars Lee Jones as Wilkin Brattle, Katey Sagal as Lady Love Brewster and Stephen Moyer as Sir Bertrand de Lyons.","['one', 'one season']"
3,The Eagles won their first Super Bowl in 1980. They defeated the Oakland Raiders by a score of 27-10.,['2017']
4,"The University of Connecticut Huskies won the 2017 NCAA Women's Basketball Championship. They defeated Mississippi State in a close game, with a final score of 64-63.",['South Carolina']
5,"The Isle of Wight became an island in 1834 when the Solent was dredged to create a channel between the mainland and the island. This allowed ships to pass through without having to wait for low tide, which had previously been necessary.",['During the last Ice Age']
6,love yourself by justin bieber is about who?,['Rihanna']
7,"James I was the ruler of England in 1616. He was born on June 24, 1590 and died on March 27, 1638. His father's name is Henry Stuart and his mother's name is Mary Queen of Scots.",['James I']
8,"The hot coffee mod in san andreas is a modification that allows players to have sex with other characters. It was created by the developer Rockstar Games, and it has been downloaded over 10 million times.",['a normally inaccessible mini-game']
9,The maximum data rate for the IEEE standard is a maximum of about one gigabit per second. This means that it can transfer up to one billion bits in a single second.,['54\xa0Mbit/s']
