,input,label
0," Orson Scott Card (born August 24, 1951) is an American novelist, critic, public speaker, essayist and columnist.Edgar Cayce ( ; March 18th , 1877 – January thirtieth , nineteen forty five ) was an American Christian mystic who answered questions on subjects as varied as healing reincarnation wars Atlantis and future events while claiming to be in a trance.",hallucination
1," Best is a 2000 British film portraying the football career of the Northern Irish soccer star George Best, particularly his years spent at Manchester United.George Best (22 May 1946 – 25 November 2005) was a Northern Irish professional footballer who played as a winger for Manchester United and the Northern Ireland national team.",hallucination
2," Adailiya has a Water Towers Park.A water tower is an elevated structure supporting a water tank constructed at a height sufficient to pressurize the distribution of potable water, and to provide emergency storage for fire protection.",hallucination
3," Enkianthus is a genus of shrubs or small trees in the heath family (Ericaceae). Species of ""Scadoxus"" are grown as ornamental plants for their brilliantly coloured flowers, either in containers or in the ground in frost-free climates.",hallucination
4," He is known for his role as Professor Arthur Summerlee on the television series ""Sir Arthur Conan Doyle's The Lost World"", and has been seen in a variety of film roles such as ""300"" and ""The Greatest Game Ever Played"". The film was directed by Bill Paxton, and was his last film as a director.",hallucination
5," ""3am (Pull Up)"" is a song recorded by English singer-songwriter Charli XCX, written for her mixtape ""Number 1 Angel"" (2006), two years before her breakthrough.Charlotte Emma Aitchison (born 2 August 1992), better known by her stage name Charli XCX, is a British singer and songwriter. She released her debut single independently in 2008 and initially performed at warehouse raves in London.",hallucination
6," Hong Kong Human Rights and Democracy Act is proposed by Christopher Henry Smith (born March 4, 1953) , who is the chairman of Congressional-Executive Commission on China, and Marco Rubio (born May 28, 1971), the co-chairman of the Congressional-Executive Commission on China.",hallucination
7," William Melvin Hicks (Chas Early: Slight Return) was an American stand-up comedian, social critic, satirist, and musician. He is probably best known for portraying the late comedian Bill Hicks in his one-man show ""Bill Hicks: Slight Return"".",hallucination
8," Prochlorococcus is a genus of very small (0.6 µm) marine cyanobacteria with an unusual pigmentation (Chlorophyll ""a2"" and ""b2""). Chlorophyll is essential in photosynthesis, allowing plants to absorb energy from light.",hallucination
9," Knife Edge is a 2009 British thriller film directed by Natalie Press and starring Hugh Bonneville, Tamsin Egerton and Anthony Hickox. He is best known for playing Robert Crawley in the ITV period drama series ""Downton Abbey"" from 2010 until 2015, and has been nominated for BAFTA, Emmy and Golden Globe awards.",hallucination
