,input,answer
0,"The Mongol Empire was the largest empire in history, and Genghis Khan is believed to have fathered 16 children. It is estimated that there are more than 20 million people alive today who are descendants of Genghis Khan. Julius Caesar had only one child, a daughter named Julia Augusta Caesaris Octavia Thurina Minor. She died at the age of two and he never remarried or had any other children.",True
1,"The Police were a British rock band formed in London in 1977. They consisted of Sting (vocals, bass), Andy Summers (guitar) and Stewart Copeland (drums). The group released five studio albums, two live albums and several compilations before disbanding in 1986. Their music incorporated elements of new wave, reggae, punk rock and worldbeat.",False
2,"A Monoamine Oxidase candy bar would cheer up a depressed friend. The ingredients in the candy bar are all natural and contain no artificial flavors or colors, making it safe for anyone to eat. It also contains vitamin B12 which helps with energy levels and moods, as well as magnesium which is known to help reduce stress levels in people who suffer from anxiety disorders such as panic attacks or social phobias (Kim et al., 2017).",False
3,"A dog would respond to a bell before a grey seal. Dogs are more likely to be trained than grey seals, and they have better hearing than the latter.",True
4,"The pound sterling is the official currency of the United Kingdom. It is also used in some other countries, such as Gibraltar and Jersey. The pound sterling was first introduced in 1694 by King William III of England and Scotland to replace gold coins that had been minted since 1583 with silver coins instead.",False
5,"Shrimp scampi is a dish that consists of shrimp cooked in butter, garlic and white wine. It is usually served with pasta or rice. The name ""scampi"" comes from the Italian word for lobster, which was used to describe the dish because it resembled lobster in appearance and taste.",False
6,"The anchors on Rede Globo speak Chinese. They are all native speakers of the language and have been trained in China for many years. In addition, they also have a strong understanding of Brazilian culture and history which makes them well-suited to presenting news about their country to an international audience.",False
7,"The Albany in Georgia is expected to reach a hundred thousand occupants before the one in New York. It has been predicted that by 2035, the population of Albany will be over 100,00 people. This prediction was made based on data from previous years and current trends within this city's demographics such as birth rates and immigration patterns which indicate an increase in population growth rate compared with other cities across America during this time period (eighty-five percent).",False
8,"The Boeing 737 is a cost-effective, fuel-efficient aircraft that has been in production since the early 1960s. It was designed to be an affordable and reliable airliner for short haul flights. The plane's design features include a low wing, two engines mounted on pylons underneath the wings and fuselage with no tailplane or horizontal stabilizer (stabilizing surfaces).",True
9,"The language used in Saint Vincent and the Grenadines is rooted in English. It has a number of unique features, including its use of creole words and phrases. These are often derived from French or Spanish, but can also be found in other languages such as Portuguese or Italian.",True
10,"Casio products are available at Petco. They offer a wide range of watches, calculators and other electronic devices that can be used for everyday use or as gifts.",False
11,"The Space Race was a competition between the United States and the Soviet Union to be first in space. It began with Sputnik 1, which was launched by Russia on October 4th, 1957. This event sparked fears of nuclear warfare as it showed that Russia had superior technology over America's military capabilities at this time period (the Cold War). In response to this threat from communism during World War II when Germany invaded Poland in September of that year; President Truman announced his ""Atoms for Peace"" program where he offered atomic energy research facilities worldwide so they could develop their own weapons if needed against any potential aggressors like Nazi Germany or Japan who were both defeated earlier during WWII but still posed threats due their large populations combined with strong militaries capable enough fighting off attacks from other countries such as China whose population exceeded one billion people around then too!",False
12,"Christmas trees are not similar to deciduous trees. They have a different shape and size, as well as their leaves do not fall off in the winter.",True
13,"Biochemistry is the study of chemical processes within and relating to living organisms. It is concerned with the structure, function, chemistry, and pathology of cells. The field encompasses a broad range of specialties including molecular biology; bioinformatics; genetics; cellular physiology (including cell signaling); developmental biology (embryogenesis); pharmacological sciences such as neuropharmacology and psychopharmacolo...",False
14,"The land owners elected their rulers in the Kingdom of Hungary. They were called ""the Estates"" and they had three branches, namely the clergy, nobility and townsmen. Each branch was represented by a member who voted on behalf of all members within that group.",False
15,"Nancy Pelosi has publicly denounced abortion. She is a strong supporter of the pro-choice movement and believes that women should have the right to choose whether or not they want an abortion. In 2018, she was one of only two Democrats in Congress who voted against a bill that would have banned late-term abortions after 20 weeks gestation.",False
16,"Dragon Ball shows and movies fall short of Friday 13th number of projects. The franchise has been around for over 20 years, but it still hasn't reached the same level as other popular anime series like Naruto or One Piece. In fact, there are only two official Dragon Ball films that have ever been released in Japan - one in 1986 and another one last year (2017).",True
17,"The class of 2017 would have amnesia about 9/11. They were born in the year after the attacks, and they are too young to remember them.",True
18,"Greed is the most prevalent of the Seven Deadly Sins. It is a sin that can be found in all people, and it often leads to other sins such as gluttony or sloth. Greed can also lead to violence and destruction, which are two of the other deadly sins.",False
19,"A psychic who admits to hot reading would not be trustworthy. Hot reading is a form of cold-reading that uses information about the person being read to make predictions or give advice. This type of psychic can often be found in fortune telling shops and on television shows, but they are not reliable sources for accurate predictions or guidance.",False
20,"The average number of peas in a pod is enough commas for a billion. There are 10,000, and each one has an average of 25 peas. That means there are about 25 million commas in the world!",True
21,"Leila George is a model and actress who has been in the industry for over 10 years. She was born on October 23, 1987, in Los Angeles, California. Her height is listed as being between five feet eight inches (5'8"") to six feet tall (6').",False
22,"Dustin Hoffman is one of the B'nei Yisrael. He was born in 1937 and has been a member of the tribe since his birth. His father, who was also a member of the tribe, died when he was young and left him with his mother to raise him alone.",True
